# Bright-star catalog for the night sky — raHours,decDegrees,magnitude,name,constellation (J2000).
# Curated bright + named stars (labelled set, incl. Ursa Major / Big Dipper + Polaris). The dense faint
# field is generated by scripts/generate-star-catalog.py (Yale BSC / HYG, mag <= ~6). Parsed by StarCatalog.
6.7525,-16.7161,-1.46,Sirius,Canis Major
6.3992,-52.6957,-0.74,Canopus,Carina
14.2610,19.1825,-0.05,Arcturus,Bootes
18.6156,38.7837,0.03,Vega,Lyra
5.2782,45.9980,0.08,Capella,Auriga
5.2423,-8.2016,0.13,Rigel,Orion
7.6550,5.2250,0.34,Procyon,Canis Minor
5.9195,7.4070,0.50,Betelgeuse,Orion
1.6286,-57.2367,0.46,Achernar,Eridanus
14.0637,-60.3730,0.61,Hadar,Centaurus
19.8464,8.8683,0.77,Altair,Aquila
4.5987,16.5093,0.85,Aldebaran,Taurus
16.4901,-26.4320,1.09,Antares,Scorpius
13.4199,-11.1613,1.04,Spica,Virgo
7.7553,28.0262,1.14,Pollux,Gemini
22.9608,-29.6222,1.16,Fomalhaut,Piscis Austrinus
20.6905,45.2803,1.25,Deneb,Cygnus
10.1395,11.9672,1.35,Regulus,Leo
7.5767,31.8883,1.58,Castor,Gemini
5.4189,6.3497,1.64,Bellatrix,Orion
5.4382,28.6075,1.65,Elnath,Taurus
2.5302,89.2641,1.98,Polaris,Ursa Minor
11.0621,61.7510,1.79,Dubhe,Ursa Major
11.0307,56.3825,2.37,Merak,Ursa Major
11.8972,53.6948,2.44,Phecda,Ursa Major
12.2570,57.0326,3.31,Megrez,Ursa Major
12.9005,55.9598,1.77,Alioth,Ursa Major
13.3988,54.9254,2.04,Mizar,Ursa Major
13.7923,49.3133,1.86,Alkaid,Ursa Major
